ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues
9995641000033112	28365011000001100	Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler	Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler	Aclidinium bromide/ Formoterol fumarate dihydrate	396.000microgram/1.000dose + 11.800microgram/1.000dose	Inhalation powder	Inhalation		30000
9995741000033115	28357211000001106	Duaklir 340micrograms/dose / 12micrograms/dose Genuair (AstraZeneca UK Ltd)	Duaklir 340micrograms/dose / 12micrograms/dose Genuair	Aclidinium bromide/ Formoterol fumarate dihydrate	396.000microgram/1.000dose + 11.800microgram/1.000dose	Inhalation powder	Inhalation		200000
20141000033118	3604911000001105	AeroBec 50 Autohaler (Meda Pharmaceuticals Ltd)	AeroBec 50 Autohaler	Beclometasone dipropionate	50.000microgram/1.000dose	 Pressurised inhalation	Inhalation		20000
20241000033113	3182411000001107	AeroBec Forte 250 Autohaler (Meda Pharmaceuticals Ltd)	AeroBec Forte 250 Autohaler	Beclometasone dipropionate	250.000microgram/1.000dose	 Pressurised inhalation	Inhalation		30000
20341000033115	3181411000001102	AeroBec 100 Autohaler (Meda Pharmaceuticals Ltd)	AeroBec 100 Autohaler	Beclometasone dipropionate	100.000microgram/1.000dose	 Pressurised inhalation	Inhalation		100000
121641000033112	3180211000001107	Becloforte 250micrograms/dose inhaler (GlaxoSmithKline UK Ltd)	Becloforte 250micrograms/dose inhaler	Beclometasone dipropionate	250.000microgram/1.000dose	 Pressurised inhalation	Inhalation		1000000
123241000033110	3181711000001108	Beclazone 100 Easi-Breathe inhaler (Teva UK Ltd)	Beclazone 100 Easi-Breathe inhaler	Beclometasone dipropionate	100.000microgram/1.000dose	 Pressurised inhalation	Inhalation		400000
123341000033117	3604611000001104	Beclazone 50 Easi-Breathe inhaler (Teva UK Ltd)	Beclazone 50 Easi-Breathe inhaler	Beclometasone dipropionate	50.000microgram/1.000dose	 Pressurised inhalation	Inhalation		40000
123441000033111	3182611000001105	Beclazone 250 Easi-Breathe inhaler (Teva UK Ltd)	Beclazone 250 Easi-Breathe inhaler	Beclometasone dipropionate	250.000microgram/1.000dose	 Pressurised inhalation	Inhalation		200000
126641000033118	3103211000001103	Becloforte 400microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)	Becloforte 400microgram disks with Diskhaler	Beclometasone dipropionate	400.000microgram	Inhalation powder	Inhalation		6000
