MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
8313711000006110	3	^ESCTAD831371		Adult cystic fibrosis service	893391000000101	2299921000000110	31
1834241000006116	1	EMISNQAG5		Age at diagnosis of cystic fibrosis - months	1834241000006100	1834241000006116	1
1834251000006119	1	EMISNQAG6		Age at diagnosis of cystic fibrosis - years	1834251000006103	1834251000006119	1
1708981000006119	5	EMISNQAN15		Annual cystic fibrosis blood test	1708981000006103	1708981000006119	1
1174311000000111	30	C3704	C370400	Arthropathy in cystic fibrosis	526071000000104	1174311000000111	32
1709161000006116	1	EMISNQAR8		Arthropathy in Cystic Fibrosis	1709161000006100	1709161000006116	32
5098731000006116	1	^ESCTAZ509873		Azoospermia with absent vasa in association with cystic fibrosis trait	236793007	354911010	31
1774871000006113	50	EMISNQCA86		Carrier of cystic fibrosis gene mutation	441520002	2816434012	17
4760431000006115	1	^ESCTCF476043		CF - Cystic fibrosis	190905008	293529010	32
6847771000006113	40	^ESCTCH684777		Chronic lung disease	413839001	2535179019	31
3599011000006111	1000	^ESCTCH359901		Chronic lung disease of prematurity	67569000	500769016	32
293528019	100000	C370	C370.00	Cystic fibrosis	190905008	293528019	32
1148241000000114	700	66k0	66k0.00	Cystic fibrosis annual review	515631000000107	1148241000000114	1
1708971000006117	20	EMISNQCY8		Cystic fibrosis annual review	1708971000006101	1708971000006117	1
8096041000006119	2	^ESCTCY809604		Cystic fibrosis carrier comment	302651000000109	537041000000110	31
7567301000006111	10	^ESCTCY756730		Cystic fibrosis clinic	702844004	3006353018	31
1834271000006112	1	EMISNQCY15		Cystic fibrosis diagnosed following neonatal screening	1834271000006108	1834271000006112	32
1783401000006112	3000	677C1	677C100	Cystic fibrosis gene carrier	441520002	2920426014	17
1855391000006116	8	EMISNQCY33		Cystic fibrosis gene mutation - cDNA (protein name)(legacy name)	1855391000006100	1855391000006116	3
1760721000006118	6	EMISNQCY10		Cystic fibrosis gene mutation 1	1760721000006102	1760721000006118	3
1834221000006111	1	EMISNQCY12		Cystic fibrosis gene mutation 1 - unknown	1834221000006107	1834221000006111	3
1760731000006115	5	EMISNQCY11		Cystic fibrosis gene mutation 2	1760731000006104	1760731000006115	3
1834231000006114	1	EMISNQCY13		Cystic fibrosis gene mutation 2 - unknown	1834231000006105	1834231000006114	3
1709381000006111	100	EMISNQCY9		Cystic fibrosis gene screening test	1709381000006107	1709381000006111	3
1854811000006117	1	EMISNQCY24		Cystic fibrosis manifested by acute/persistent respiratory symp.	1854811000006101	1854811000006117	32
1854831000006111	10	EMISNQCY25		Cystic fibrosis manifested by bronchiectasis	1854831000006107	1854831000006111	32
1854771000006117	1	EMISNQCY20		Cystic fibrosis manifested by failure to thrive	1854771000006101	1854771000006117	32
1854881000006112	1	EMISNQCY30		Cystic fibrosis manifested by intestinal obstruction	1854881000006108	1854881000006112	32
1854901000006114	1	EMISNQCY31		Cystic fibrosis manifested by malabsorption	1854901000006105	1854901000006114	32
1854851000006116	1	EMISNQCY27		Cystic fibrosis manifested by male infertility	1854851000006100	1854851000006116	32
1854861000006119	1	EMISNQCY28		Cystic fibrosis manifested by malnutrition	1854861000006103	1854861000006119	32
1854911000006112	6	EMISNQCY32		Cystic fibrosis manifested by nasal polyp/sinus disease	1854911000006108	1854911000006112	32
1854801000006115	1	EMISNQCY23		Cystic fibrosis manifested by pancreatitis	1854801000006104	1854801000006115	32
1148201000000111	900	66k	66k..00	Cystic fibrosis monitoring	515611000000104	1148201000000111	1
293539016	2000	C370z	C370z00	Cystic fibrosis NOS	190905008	293528019	32
8096171000006111	100	^ESCTCY809617		Cystic fibrosis not screened for or screening incomplete	302771000000109	537311000000112	37
5088101000006114	1	^ESCTCY508810		Cystic fibrosis of pancreas	235978006	353731011	31
606441000006110	800	C3702	C370200	Cystic fibrosis of the lung	86555001	143537016	32
1736361000000112	20	C3708	C370800	Cystic fibrosis related cirrhosis	776981000000103	1736361000000112	32
2420981000000110	9	687G	687G.00	Cystic fibrosis screening related finding	946741000000101	2420981000000110	1
2422261000000112	30	68770	6877000	Cystic fibrosis screening, inconclusive result	947381000000105	2422261000000112	1
1227346010	7	C370y-1	C370y11	Cystic fibrosis with combined manifestations	190905008	293528019	32
1174361000000113	70	C3705	C370500	Cystic fibrosis with distal intestinal obstruction syndrome	526091000000100	1174361000000113	32
293537019	100	C3703	C370300	Cystic fibrosis with intestinal manifestations	190909002	293537019	32
1854791000006116	4	EMISNQCY22		Cystic fibrosis with liver manifestations	1854791000006100	1854791000006116	32
142759013	200	C3701	C370100	Cystic fibrosis with meconium ileus	86092005	142759013	32
1495466012	6	C3700	C370000	Cystic fibrosis with no meconium ileus	81423003	1495466012	32
451084014	200	C370y	C370y00	Cystic fibrosis with other manifestations	190905008	293528019	32
494831000000119	1000	C10N1	C10N100	Diabetes mellitus associated with cystic fibrosis	426705001	2674608014	32
7068831000006114	10	^ESCTDI706883		Diabetes mellitus due to cystic fibrosis	427089005	2675251010	32
13925411000006118	1	^ESCT1392541		Distal intestinal obstruction syndrome due to cystic fibrosis	817966005	3854356014	32
2222561000000111	2000	C3709	C370900	Exacerbation of cystic fibrosis	859041000000103	2222561000000111	32
2675247013	100	C3707	C370700	Liver disease due to cystic fibrosis	427022004	2675247013	32
1709341000006117	9	EMISNQLI28		Liver disease due to cystic fibrosis	1709341000006101	1709341000006117	32
1495490013	200	C3701-1	C370111	Meconium ileus in cystic fibrosis	86092005	1495490013	32
1874381000006115	20	EMISNQNE74		Newborn blood spot test outcome status (cystic fibrosis)	1874381000006104	1874381000006115	37
1760711000006114	20	EMISNQOT6		Other cystic fibrosis gene mutation	1760711000006105	1760711000006114	3
1763651000006110	70	EMISNQPA119		Pancreatic sufficient cystic fibrosis	1763651000006106	1763651000006110	32
3901481000006115	10	^ESCTPC390148		PCD - Primary ciliary dyskinesia	86204009	1235107013	32
1659531000006118	2000	Pyu9D	Pyu9D00	Primary ciliary dyskinesia	86204009	142945013	32
3907561000006119	2	^ESCTPU390756		Pulmonary cystic fibrosis	86555001	143539018	32
1762711000006110	1	EMISNQRE142		Reason for suspected cystic fibrosis diagnosis	1762711000006106	1762711000006110	30
1854691000006111	1	EMISNQRE351		Results annual cystic fibrosis assessment discussed with family	1854691000006107	1854691000006111	1
