MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
21390015	5000	H3310	H331000	Intrinsic asthma without status asthmaticus	12428000	21390015	32
69311016	70	H47y0	H47y000	Detergent asthma	41553006	69311016	32
93172014	1000000	1737	1737.00	Wheezing	56018004	93172014	27
94731013	10	H35y7	H35y700	Wood asthma	56968009	497732010	32
98546013	900	H3311	H331100	Life threatening acute exacerbation of intrinsic asthma	1086711000000100	2722261000000119	32
104872017	9000	H3300	H330000	Extrinsic asthma without status asthmaticus	63088003	104872017	32
151338014	2000	H3301	H330100	Life threatening acute exacerbation of allergic asthma	1086701000000102	2722231000000112	32
252406018	700000	173B	173B.00	Nocturnal cough / wheeze	161947006	252406018	27
253894014	400000	2326	2326.00	O/E - expiratory wheeze	162894004	253894014	27
264514012	200000	6635	6635.00	Increasing exercise wheeze	170612008	264514012	1
264540018	1000000	663N	663N.00	Asthma disturbing sleep	170631002	264540018	1
264541019	300000	663N0	663N000	Asthma causing night waking	170632009	264541019	1
264542014	200000	663N1	663N100	Asthma disturbs sleep weekly	170633004	264542014	1
264543016	200000	663N2	663N200	Asthma disturbs sleep frequently	170634005	264543016	1
264546012	1000000	663P	663P.00	Asthma limiting activities	170637003	264546012	1
264550017	5000000	663U	663U.00	Asthma management	406162001	2157868010	1
264556011	200000	663W	663W.00	Asthma prophylactic medication used	170647000	264556011	1
264565016	100000	663d	663d.00	Emergency asthma admission since last encounter	708358003	3033971010	1
264566015	200000	663e	663e.00	Asthma restricts exercise	170655007	264566015	1
264567012	1000000	663e0	663e000	Asthma sometimes restricts exercise	170656008	264567012	1
264568019	70000	663e1	663e100	Asthma severely restricts exercise	170657004	264568019	1
282488010	100000	8793	8793.00	Asthma control step 0	182726007	282488010	32
282489019	400000	8794	8794.00	Asthma control step 1	182727003	282489019	32
282490011	900000	8795	8795.00	Asthma control step 2	182728008	282490011	32
282491010	600000	8796	8796.00	Asthma control step 3	182729000	282491010	32
282492015	60000	8797	8797.00	Asthma control step 4	182730005	282492015	32
282493013	10000	8798	8798.00	Asthma control step 5	182731009	282493013	32
283550015	100000	8H2P	8H2P.00	Emergency hospital admission for asthma	183478001	3082895019	40
285239019	400000	9N1d	9N1d.00	Seen in asthma clinic	185242005	285239019	37
301450011	9000	H3120	H312000	Chronic asthmatic bronchitis	195949008	301450011	32
301451010	1000	H3120-1	H312011	Chronic wheezy bronchitis	195949008	301451010	32
301480018	90000	H33-1	H33..11	Bronchial asthma	195967001	301480018	32
